model,model_label,image_subtype,items,accuracy,accuracy_ci_low,accuracy_ci_high,decline_rate,attempted_accuracy
anthropic-claude-sonnet-4.5,Claude Sonnet 4.5,Text-only,2140,0.9261682242990654,0.9143090284324489,0.936500154539208,0.005607476635514018,0.931390977443609
openai-gpt-5,GPT-5,Text-only,2140,0.9887850467289719,0.983366382533934,0.9924520444269795,0.004672897196261682,0.9934272300469483
x-ai-grok-4-fast,Grok 4 Fast,Text-only,2140,0.9766355140186916,0.9693303205603656,0.9822325814474087,0.012616822429906542,0.9891150023663038
qwen-qwen3-vl-235b-a22b-thinking,Qwen3-VL,Text-only,2140,0.9841121495327103,0.9778810203115215,0.9886083585904925,0.0,0.9841121495327103
anthropic-claude-sonnet-4.5,Claude Sonnet 4.5,Question diagram only,1353,0.6430155210643016,0.6171145215686914,0.668106715948891,0.009608277900960829,0.6492537313432836
openai-gpt-5,GPT-5,Question diagram only,1353,0.8078344419807835,0.7859803972919042,0.827945418863512,0.04434589800443459,0.8453209590100541
x-ai-grok-4-fast,Grok 4 Fast,Question diagram only,1353,0.6348854397634885,0.6088826749364217,0.6601244353837786,0.18994826311899482,0.7837591240875912
qwen-qwen3-vl-235b-a22b-thinking,Qwen3-VL,Question diagram only,1353,0.779009608277901,0.7561284746911295,0.8003108904917505,0.0,0.779009608277901
anthropic-claude-sonnet-4.5,Claude Sonnet 4.5,Image answers only,119,0.5630252100840336,0.47331840744696124,0.6487902042872481,0.01680672268907563,0.5726495726495726
openai-gpt-5,GPT-5,Image answers only,119,0.6218487394957983,0.5322004246620075,0.7038762246907971,0.1092436974789916,0.6981132075471698
x-ai-grok-4-fast,Grok 4 Fast,Image answers only,119,0.42016806722689076,0.3353441373563325,0.5099849544470025,0.3445378151260504,0.6410256410256411
qwen-qwen3-vl-235b-a22b-thinking,Qwen3-VL,Image answers only,119,0.5630252100840336,0.47331840744696124,0.6487902042872481,0.0,0.5630252100840336
anthropic-claude-sonnet-4.5,Claude Sonnet 4.5,Question diagram and image answers,274,0.3175182481751825,0.26524633610062104,0.37483617561504307,0.0072992700729927005,0.31985294117647056
openai-gpt-5,GPT-5,Question diagram and image answers,274,0.5474452554744526,0.4882587036509884,0.605319843302939,0.12408759124087591,0.625
x-ai-grok-4-fast,Grok 4 Fast,Question diagram and image answers,274,0.16423357664233576,0.12506573088195674,0.21268609067486507,0.4927007299270073,0.3237410071942446
qwen-qwen3-vl-235b-a22b-thinking,Qwen3-VL,Question diagram and image answers,274,0.4635036496350365,0.40537072876936553,0.5226457735737674,0.0,0.4635036496350365
