model,year,items,accuracy,abstention_rate,model_label
openai-gpt-5,2000,104,0.9903846153846154,0.009615384615384616,GPT-5
openai-gpt-5,2001,99,0.98989898989899,0.010101010101010102,GPT-5
openai-gpt-5,2002,96,0.9583333333333334,0.03125,GPT-5
openai-gpt-5,2003,87,1.0,0.0,GPT-5
openai-gpt-5,2004,86,0.9883720930232558,0.011627906976744186,GPT-5
openai-gpt-5,2005,84,0.9880952380952381,0.0,GPT-5
openai-gpt-5,2006,88,0.9886363636363636,0.011363636363636364,GPT-5
openai-gpt-5,2007,89,1.0,0.0,GPT-5
openai-gpt-5,2008,81,0.9753086419753086,0.0,GPT-5
openai-gpt-5,2009,85,0.9647058823529412,0.0,GPT-5
openai-gpt-5,2010,71,0.9859154929577465,0.014084507042253521,GPT-5
openai-gpt-5,2011,80,0.9875,0.0,GPT-5
openai-gpt-5,2012,84,0.9761904761904762,0.0,GPT-5
openai-gpt-5,2013,84,1.0,0.0,GPT-5
openai-gpt-5,2014,79,1.0,0.0,GPT-5
openai-gpt-5,2015,77,1.0,0.0,GPT-5
openai-gpt-5,2016,72,1.0,0.0,GPT-5
openai-gpt-5,2017,66,1.0,0.0,GPT-5
openai-gpt-5,2018,67,1.0,0.0,GPT-5
openai-gpt-5,2019,63,1.0,0.0,GPT-5
openai-gpt-5,2020,64,1.0,0.0,GPT-5
openai-gpt-5,2021,58,0.9655172413793104,0.017241379310344827,GPT-5
openai-gpt-5,2022,51,1.0,0.0,GPT-5
openai-gpt-5,2023,52,1.0,0.0,GPT-5
openai-gpt-5,2024,46,1.0,0.0,GPT-5
openai-gpt-5,2025,41,1.0,0.0,GPT-5
openai-gpt-5,1998,93,0.967741935483871,0.010752688172043012,GPT-5
openai-gpt-5,1999,93,0.989247311827957,0.0,GPT-5
x-ai-grok-4-fast,2000,104,0.9711538461538461,0.009615384615384616,Grok 4 Fast
x-ai-grok-4-fast,2001,99,0.9393939393939394,0.04040404040404041,Grok 4 Fast
x-ai-grok-4-fast,2002,96,0.9583333333333334,0.020833333333333332,Grok 4 Fast
x-ai-grok-4-fast,2003,87,1.0,0.0,Grok 4 Fast
x-ai-grok-4-fast,2004,86,0.9534883720930233,0.023255813953488372,Grok 4 Fast
x-ai-grok-4-fast,2005,84,1.0,0.0,Grok 4 Fast
x-ai-grok-4-fast,2006,88,0.9772727272727273,0.0,Grok 4 Fast
x-ai-grok-4-fast,2007,89,0.9550561797752809,0.033707865168539325,Grok 4 Fast
x-ai-grok-4-fast,2008,81,0.9753086419753086,0.0,Grok 4 Fast
x-ai-grok-4-fast,2009,85,0.9764705882352941,0.011764705882352941,Grok 4 Fast
x-ai-grok-4-fast,2010,71,0.9577464788732394,0.014084507042253521,Grok 4 Fast
