quota_type,group,points,visual_type,population_count,exact_quota,sample_quota,remainder,year
group_points_visual_type,11-13,3.0,image_answers_only,8,0.4126902244003095,0,0.4126902244003095,
group_points_visual_type,11-13,3.0,no_separate_visual_element,177,9.130771214856848,9,0.13077121485684806,
group_points_visual_type,11-13,3.0,question_diagram_and_image_answers,17,0.8769667268506577,1,0.8769667268506577,
group_points_visual_type,11-13,3.0,question_diagram_only,77,3.972143409852979,4,0.9721434098529791,
group_points_visual_type,11-13,4.0,image_answers_only,8,0.4126902244003095,0,0.4126902244003095,
group_points_visual_type,11-13,4.0,no_separate_visual_element,170,8.769667268506577,9,0.7696672685065771,
group_points_visual_type,11-13,4.0,question_diagram_and_image_answers,7,0.3611039463502708,0,0.3611039463502708,
group_points_visual_type,11-13,4.0,question_diagram_only,95,4.900696414753676,5,0.9006964147536758,
group_points_visual_type,11-13,5.0,image_answers_only,2,0.10317255610007738,0,0.10317255610007738,
group_points_visual_type,11-13,5.0,no_separate_visual_element,176,9.07918493680681,9,0.0791849368068096,
group_points_visual_type,11-13,5.0,question_diagram_and_image_answers,5,0.25793139025019346,0,0.25793139025019346,
group_points_visual_type,11-13,5.0,question_diagram_only,97,5.003868970853753,5,0.0038689708537527068,
group_points_visual_type,3-4,3.0,image_answers_only,9,0.4642765024503482,1,0.4642765024503482,
group_points_visual_type,3-4,3.0,no_separate_visual_element,85,4.3848336342532885,4,0.38483363425328854,
group_points_visual_type,3-4,3.0,question_diagram_and_image_answers,44,2.2697962342017024,2,0.2697962342017024,
group_points_visual_type,3-4,3.0,question_diagram_only,70,3.611039463502708,4,0.6110394635027081,
group_points_visual_type,3-4,4.0,image_answers_only,7,0.3611039463502708,0,0.3611039463502708,
group_points_visual_type,3-4,4.0,no_separate_visual_element,99,5.1070415269538305,5,0.10704152695383051,
group_points_visual_type,3-4,4.0,question_diagram_and_image_answers,29,1.496002063451122,2,0.49600206345112197,
group_points_visual_type,3-4,4.0,question_diagram_only,72,3.7142120196027855,4,0.7142120196027855,
group_points_visual_type,3-4,5.0,image_answers_only,4,0.20634511220015475,0,0.20634511220015475,
group_points_visual_type,3-4,5.0,no_separate_visual_element,94,4.849110136703636,5,0.8491101367036364,
group_points_visual_type,3-4,5.0,question_diagram_and_image_answers,30,1.5475883415011606,2,0.5475883415011606,
group_points_visual_type,3-4,5.0,question_diagram_only,79,4.075315965953057,4,0.0753159659530569,
group_points_visual_type,5-6,3.0,image_answers_only,13,0.670621614650503,1,0.670621614650503,
group_points_visual_type,5-6,3.0,no_separate_visual_element,119,6.138767087954604,6,0.13876708795460413,
group_points_visual_type,5-6,3.0,question_diagram_and_image_answers,32,1.650760897601238,2,0.650760897601238,
group_points_visual_type,5-6,3.0,question_diagram_only,82,4.230074800103172,4,0.23007480010317227,
group_points_visual_type,5-6,4.0,image_answers_only,15,0.7737941707505803,1,0.7737941707505803,
group_points_visual_type,5-6,4.0,no_separate_visual_element,110,5.674490585504256,6,0.6744905855042562,
group_points_visual_type,5-6,4.0,question_diagram_and_image_answers,28,1.4444157854010833,1,0.4444157854010833,
group_points_visual_type,5-6,4.0,question_diagram_only,94,4.849110136703636,5,0.8491101367036364,
group_points_visual_type,5-6,5.0,image_answers_only,5,0.25793139025019346,0,0.25793139025019346,
group_points_visual_type,5-6,5.0,no_separate_visual_element,125,6.448284756254836,6,0.44828475625483577,
group_points_visual_type,5-6,5.0,question_diagram_and_image_answers,27,1.3928295073510446,1,0.3928295073510446,
group_points_visual_type,5-6,5.0,question_diagram_only,91,4.694351302553521,5,0.6943513025535211,
group_points_visual_type,7-8,3.0,image_answers_only,18,0.9285530049006964,1,0.9285530049006964,
group_points_visual_type,7-8,3.0,no_separate_visual_element,147,7.583182873355687,8,0.5831828733556872,
group_points_visual_type,7-8,3.0,question_diagram_and_image_answers,16,0.825380448800619,1,0.825380448800619,
group_points_visual_type,7-8,3.0,question_diagram_only,98,5.055455248903791,5,0.055455248903791166,
group_points_visual_type,7-8,4.0,image_answers_only,1,0.05158627805003869,0,0.05158627805003869,
group_points_visual_type,7-8,4.0,no_separate_visual_element,160,8.25380448800619,8,0.2538044880061907,
group_points_visual_type,7-8,4.0,question_diagram_and_image_answers,13,0.670621614650503,1,0.670621614650503,
group_points_visual_type,7-8,4.0,question_diagram_only,105,5.416559195254062,5,0.41655919525406215,
group_points_visual_type,7-8,5.0,image_answers_only,5,0.25793139025019346,0,0.25793139025019346,
group_points_visual_type,7-8,5.0,no_separate_visual_element,165,8.511735878256383,9,0.511735878256383,
group_points_visual_type,7-8,5.0,question_diagram_and_image_answers,6,0.30951766830023214,0,0.30951766830023214,
group_points_visual_type,7-8,5.0,question_diagram_only,104,5.364972917204024,5,0.3649729172040237,
group_points_visual_type,9-10,3.0,image_answers_only,17,0.8769667268506577,1,0.8769667268506577,
group_points_visual_type,9-10,3.0,no_separate_visual_element,166,8.563322156306423,9,0.5633221563064232,
group_points_visual_type,9-10,3.0,question_diagram_and_image_answers,13,0.670621614650503,1,0.670621614650503,
group_points_visual_type,9-10,3.0,question_diagram_only,83,4.281661078153212,4,0.2816610781532116,
group_points_visual_type,9-10,4.0,image_answers_only,1,0.05158627805003869,0,0.05158627805003869,
group_points_visual_type,9-10,4.0,no_separate_visual_element,168,8.6664947124065,9,0.6664947124065002,
group_points_visual_type,9-10,4.0,question_diagram_and_image_answers,1,0.05158627805003869,0,0.05158627805003869,
group_points_visual_type,9-10,4.0,question_diagram_only,109,5.622904307454217,6,0.6229043074542169,
group_points_visual_type,9-10,5.0,image_answers_only,4,0.20634511220015475,0,0.20634511220015475,
group_points_visual_type,9-10,5.0,no_separate_visual_element,178,9.182357492906887,9,0.18235749290688652,
group_points_visual_type,9-10,5.0,question_diagram_and_image_answers,5,0.25793139025019346,0,0.25793139025019346,
group_points_visual_type,9-10,5.0,question_diagram_only,92,4.7459375806035595,5,0.7459375806035595,
year,,,,134,6.912561258705185,7,0.9125612587051846,1998
year,,,,135,6.964147536755223,7,0.964147536755223,1999
year,,,,141,7.2736652050554556,8,0.27366520505545555,2000
year,,,,140,7.222078927005416,7,0.2220789270054162,2001
year,,,,139,7.170492648955378,7,0.17049264895537775,2002
year,,,,140,7.222078927005416,7,0.2220789270054162,2003
year,,,,141,7.2736652050554556,8,0.27366520505545555,2004
year,,,,141,7.2736652050554556,8,0.27366520505545555,2005
year,,,,141,7.2736652050554556,8,0.27366520505545555,2006
year,,,,141,7.2736652050554556,7,0.27366520505545555,2007
year,,,,140,7.222078927005416,7,0.2220789270054162,2008
year,,,,141,7.2736652050554556,7,0.27366520505545555,2009
year,,,,138,7.118906370905339,7,0.11890637090533929,2010
year,,,,138,7.118906370905339,7,0.11890637090533929,2011
year,,,,137,7.067320092855301,7,0.06732009285530083,2012
year,,,,138,7.118906370905339,7,0.11890637090533929,2013
year,,,,138,7.118906370905339,7,0.11890637090533929,2014
year,,,,136,7.0157338148052615,7,0.01573381480526148,2015
year,,,,138,7.118906370905339,7,0.11890637090533929,2016
year,,,,138,7.118906370905339,7,0.11890637090533929,2017
year,,,,138,7.118906370905339,7,0.11890637090533929,2018
year,,,,138,7.118906370905339,7,0.11890637090533929,2019
year,,,,138,7.118906370905339,7,0.11890637090533929,2020
year,,,,137,7.067320092855301,7,0.06732009285530083,2021
year,,,,138,7.118906370905339,7,0.11890637090533929,2022
year,,,,138,7.118906370905339,7,0.11890637090533929,2023
year,,,,137,7.067320092855301,7,0.06732009285530083,2024
year,,,,138,7.118906370905339,7,0.11890637090533929,2025
