id,year,group,problem_number,printed_problem_number,old_answer,corrected_answer,action,evidence
00_1113_p2_119e1c96-b303-42ba-b41a-ea25135d5996,2000,11-13,8,7,B,D,repair_shifted_row,shifted problem_number sequence; verified against official solution sheet
00_1113_p2_0407960b-5e8c-4223-ab33-8669a48caac4,2000,11-13,9,8,A,B,repair_shifted_row,shifted problem_number sequence
00_1113_p2_c565aae5-7ed8-449e-9508-f7880f14764b,2000,11-13,10,9,D,A,repair_shifted_row,shifted problem_number sequence
00_1113_p2_1db80709-8649-4d60-ba8e-de8eb84744d3,2000,11-13,11,10,E,D,repair_shifted_row,shifted problem_number sequence
00_1113_p2_43afce6a-cdbe-4c6c-8a35-ea5136967a0d,2000,11-13,12,11,C,E,repair_shifted_row,shifted problem_number sequence
00_1113_p2_eb871e96-37c1-4928-9e9b-3fd6ab68783a,2000,11-13,13,12,B,C,repair_shifted_row,shifted problem_number sequence
00_1113_p2_41b6de04-4ccd-43b2-aedd-3d5c677f53b2,2000,11-13,14,13,E,B,repair_shifted_row,shifted problem_number sequence
00_1113_16dc316a-a571-4053-9d20-afa66e4d91cd,2000,11-13,15,14,B,E,repair_shifted_row,shifted problem_number sequence
00_1113_p3_0de9b510-a046-4187-88c5-e28719bb3947,2000,11-13,17,15,A,B,repair_shifted_row,shifted problem_number sequence
00_1113_p3_1ecdde48-1188-469e-8cb7-5764bc876764,2000,11-13,18,16,C,C,repair_shifted_row,shifted problem_number sequence; verified against official solution sheet
00_1113_p3_c5ef2bf5-ee65-486f-bfea-70eda648434a,2000,11-13,19,17,D,A,repair_shifted_row,shifted problem_number sequence
00_1113_p3_f97bf642-c077-435d-aced-5a19312b20d3,2000,11-13,20,18,D,C,repair_shifted_row,shifted problem_number sequence
00_1113_p3_03b47b99-9c57-4c68-b880-3ea6ce1aa2b5,2000,11-13,21,19,B,D,repair_shifted_row,shifted problem_number sequence
00_1113_p3_b2307e59-24b9-45a4-a095-5174bbbad373,2000,11-13,22,20,A,D,repair_shifted_row,shifted problem_number sequence
00_1113_p3_981f40b3-15c4-4a60-84d4-bb219b62992e,2000,11-13,23,21,B,B,repair_shifted_row,shifted problem_number sequence
00_1113_3ad334d3-afd3-4ed1-891d-afe766826ced,2000,11-13,24,22,A,A,repair_shifted_row,shifted problem_number sequence
00_1113_p4_d910ae76-ea2f-4a3b-bd5d-b0cabe437e5a,2000,11-13,26,23,B,B,repair_shifted_row,shifted problem_number sequence
00_1113_p4_eff66a89-dd8e-4ff4-8c01-1d45ed4846a1,2000,11-13,27,24,A,A,repair_shifted_row,shifted problem_number sequence
00_1113_p4_279f1e6b-fd89-42bc-a258-2a4810a318a9,2000,11-13,28,25,C,E,repair_shifted_row,shifted problem_number sequence; verified against official solution sheet
00_1113_p4_901dd929-f109-47e3-87b4-2733eaf26aeb,2000,11-13,29,26,E,B,repair_shifted_row,shifted problem_number sequence
00_1113_p4_48e550c5-975e-4a89-a40b-71f430989467,2000,11-13,30,27,E,A,repair_shifted_row,shifted problem_number sequence
